Alignment ID,Average Rt(min),Quant mass,Metabolite name,KEGG,Total score,HMDB,Super Class,Class,Sub Class,C115_N,C24_N,D36_N,F20_N,F44_N,G30_N,X117_N,H11_N,H17_N,H35_N,H4_N,R114_N,H46_N,J32_N,J38_N,L28_N,L3_N,L50_N,L6_N,L9_N,L113_N,L112_N,P1_N,P21_N,R25_N,R29_N,R51_N,S15_N,S2_N,W116_N,W14_N,W18_N,W33_N,W37_N,W5_N,X13_N,X22_N,X34_N,X49_N,Y10_N,Y12_N,Y19_N,Y27_N,Y48_N,Y7_N,Y8_N,Z16_N,Z23_N,Z26_N,Z43_N,A41_T,C24_T,C115_T,W116_T,C99_T,D36_T,D65_T,F20_T,F44_T,F69_T,W105_T,J111_T,G30_T,X117_T,G80_T,H11_T,H17_T,H35_T,H4_T,R114_T,H46_T,H63_T,H78_T,H85_T,H91_T,J32_T,J38_T,L28_T,L3_T,L50_T,L52_T,Z58_T,L6_T,L68_T,Y102_T,L75_T,L9_T,L90_T,L95_T,L97_T,L60_T,M72_T,N39_T,O31_T,P1_T,P21_T,P88_T,Q93_T,R25_T,R29_T,R51_T,L64_T,R82_T,S15_T,S2_T,W59_T,J106_T,S86_T,S92_T,T42_T,T45_T,W14_T,W18_T,W33_T,W37_T,W5_T,Y57_T,L61_T,W66_T,L103_T,W73_T,X13_T,X22_T,X34_T,X49_T,L113_T,X94_T,X98_T,Y10_T,Y12_T,Y19_T,Y27_T,Y48_T,L112_T,W101_T,Y7_T,Y8_T,Y89_T,Z16_T,Z23_T,Z26_T,Z43_T,W62_T,M104_T,Z76_T,Z81_T,W108_T,Z84_T,Z87_T,Z96_T
0,6.265,171,Methylamine,C00218,91.3,HMDB0000164,Organic nitrogen compounds,Organonitrogen compounds,Amines,13.61517473,6.761043554,8.139200307,9.726408206,3.298987507,1.677776774,9.266594424,12.85269581,3.434845514,5.130753533,5.759178351,4.426575911,0.007024325,5.825461601,0.033403014,18.08422772,7.645608044,4.554505019,4.218687172,10.52701435,8.014163251,4.910312378,0.031319988,7.182669592,5.896926903,8.719981036,8.215473235,13.85844545,16.52064495,7.205763418,4.486637174,0.030960638,8.778399196,4.906358138,7.420869249,14.56433754,27.46797,5.528710588,14.32280715,13.60815619,19.85259613,5.750315591,7.767298143,20.06352692,6.699194059,6.111096718,0.010616425,14.21138446,4.28268662,10.54786274,0.03333355,7.599020374,0.038332658,6.96660561,3.68E-06,3.082553666,0.02292785,2.507092403,0.000302307,0.003110353,11.56970239,0.0269385,0.025920447,5.540497981,0.005766551,3.379979113,0.003844507,12.20352982,0.050457002,10.94136322,18.95009796,0.002330298,0.003849867,0.010011426,0.001956837,0.001890531,6.501144635,0.040628144,0.000740022,8.481349759,0.005367881,0.02050926,9.951562265,0.001375849,0.054533903,0.000918922,5.858805444,0.01267575,0.004608617,0.041594329,5.444856164,0.010625597,0.029045027,6.498057092,7.98280239,2.698881935,0.012767749,0.000761905,6.774345025,4.242623375,0.025278367,6.608829939,7.291323484,0.020991793,0.060385606,6.85635766,10.44317308,0.006499885,0.001779072,3.355217499,0.00594649,0.029218,2.51032202,0.012396722,3.998694609,0.011790067,0.047895687,10.24626357,0.003121706,3.216733405,7.663599453,6.840493104,7.03420361,2.862362376,23.1643551,6.033246963,0.02149469,0.03067169,6.861737262,7.409939922,4.417503362,0.007105312,8.211811806,0.004028355,7.730632935,0.00966875,3.891269486,0.006532713,0.057445049,0.010085978,4.294236177,0.035217526,6.027369743,0.025564712,0.013769396,0.055044412,6.187846797,0.016711388,0.004128406,0.007530602
11,6.346,147,Glutaric acid,C00489,73.1,HMDB0000661,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,1.139059098,0.446338504,0.207085406,0.221399754,1.18249346,0.016027344,0.073177991,0.165183919,1.174472205,0.944976515,0.21133185,0.170234846,0.403384421,0.679844344,0.297978299,0.155683222,0.210471619,0.267739055,0.353602388,0.226820272,0.585303799,0.009965669,2.211457158,0.983113634,0.261386223,0.237882931,0.16669399,0.268531402,0.76370372,0.225555912,0.484505353,2.120426755,0.857376703,1.118725465,1.526058018,0.117065355,0.839319389,1.674214937,0.579688912,1.617559517,1.381942524,0.118018625,0.064420252,0.005516716,1.06274181,0.285073472,1.905843546,1.956552645,1.481692404,0.247821006,0.186433757,0.000195503,0.094871113,0.103552008,2.083440219,1.076008064,0.897254411,0.879153886,0.137917489,0.042656781,0.430653003,0.065787373,0.247900278,0.003093831,0.027498218,0.035043044,2.190878526,0.212691212,3.213879829,0.182756978,0.454141059,0.425986593,0.139432543,0.117525782,0.117955978,1.576684513,2.189367722,0.095658234,0.108252119,0.742522692,0.583093311,1.040500341,0.46802808,0.026045695,0.387548323,0.102704742,0.79417852,0.139692856,0.62061987,2.522188461,0.035895585,3.70E-07,0.277791941,0.17205629,0.118440338,0.08330562,0.090577196,0.099036469,0.558866865,0.014464241,0.065730944,0.202745274,0.237637512,0.032721379,1.721449956,0.049194961,1.845189494,0.040276482,0.039183132,0.502891856,0.04421225,1.710771483,0.007084187,0.108405144,0.7907572,0.159216692,0.247424815,0.501177288,0.06873923,0.168470388,0.099419153,0.005576182,0.019763773,0.000188691,0.166519853,0.016945744,0.354381444,0.01425966,0.033200602,0.016982846,1.054217331,1.040202693,1.794584355,0.057263973,0.27395286,2.226011581,0.029774746,0.275960203,0.175693846,2.707139289,0.795878484,0.17891892,0.104797604,0.026338463,0.117021843,0.101209844,0.342285151,0.065768877,0.475453162,0.129385484
19,6.396,73,Diethylamine,C14422,80.2,HMDB0041878,Organic nitrogen compounds,Organonitrogen compounds,Amines,17.52814846,10.27523663,0.012536579,8.199478316,9.533574803,7.42661867,5.644077621,6.231304384,21.19572424,4.052609616,2.566910413,3.019181247,11.53423633,7.629187327,10.48048915,2.460992167,1.764945606,1.500028683,6.634843,6.127408387,3.759355528,1.017649981,22.23432815,11.98637245,13.65218069,0.429188681,2.094906465,12.26312131,17.04395875,1.496915259,17.68167591,3.12854814,11.85645033,0.971957985,11.30184246,0.883041636,30.33178379,0.674944758,10.03040356,12.47247192,15.06538361,1.119559072,1.690901473,0.889593718,10.59346063,7.20972783,1.2251678,21.24959692,0.958239079,14.84273014,1.47668077,2.58080343,2.13565804,1.527902708,25.12780786,14.32019207,15.00317414,0.813287527,1.245521609,3.069165602,0.183004997,1.371696097,1.840843915,4.665786312,0.838062857,1.38924666,1.835139683,21.34126131,1.14075091,2.603234185,32.8571228,2.966675938,1.544271012,1.482732877,6.612986537,18.08086597,18.65924841,3.146023945,2.983843908,14.72277838,7.176181106,1.125757713,14.63977087,0.642160423,9.434557361,6.873002751,14.65929149,1.978893677,1.569318887,6.791710741,2.480367674,2.09720468,0.640489312,0.288119872,1.707655453,4.642312577,3.227982084,2.083371674,8.593512546,10.0616943,1.763323108,1.743431906,1.746015438,0.517327839,24.56643397,3.524088103,15.45249616,3.483249494,1.536170951,11.47074879,4.725844608,14.05945682,27.19744144,2.079627733,12.65415949,2.360584553,2.384124646,4.544273719,1.015372623,2.221999023,0.93531296,7.077884426,12.95223383,6.079577165,27.1698185,2.715965413,17.12806962,1.155215598,1.773800653,2.233886505,2.498088379,5.766490069,12.71132279,2.635612558,1.879526535,15.43012934,1.908831615,2.449774793,2.894970521,19.68259487,33.92777513,0.830240234,2.409536296,2.604323723,1.635597392,1.187438544,17.61263365,2.842399713,16.68555222,3.122027673
20,6.401,73,Leucinic acid,NA,78.7,HMDB0000665,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,11.50942373,0.852924823,0.603910669,8.068463813,9.578787798,7.564408402,5.894517467,6.207117051,21.19572424,4.104496315,1.81009337,3.123197525,11.37125243,5.94041794,9.248683596,4.963333498,1.08786773,1.500028683,6.658382043,6.047751233,12.27692998,1.017649981,21.91793173,11.22556747,9.535891703,1.603406613,2.094906465,10.00753977,16.39661568,1.013563003,5.370410086,3.12854814,11.30521402,1.567178192,10.77398194,1.199811321,1.127717059,1.999960847,8.610319042,13.02202956,13.2073764,1.119559072,1.420307623,10.29732429,5.509141765,6.182421152,1.673673009,14.00272498,0.887349811,2.107132157,1.474612003,2.515156841,2.035453799,1.527902708,20.01870728,8.673720013,15.00165291,0.813287527,1.245521609,3.069165602,3.365424934,1.390039874,1.506609526,4.661918012,0.81844838,1.38924666,1.832267763,8.70583561,1.032221396,2.603234185,23.15351163,1.999420798,1.544271012,1.482732877,6.593649492,11.34916715,18.65544807,2.776580685,2.856034046,6.822222362,7.0327857,1.125757713,14.63977087,0.642160423,3.059775301,6.925559757,14.65929149,1.002695512,0.003067483,22.77315138,2.341175156,2.09720468,0.978355524,1.780302886,1.614246134,6.525453538,1.54432245,1.992086056,8.584110839,10.56671717,1.763020651,1.743431906,0.833652628,0.517327839,20.58600502,3.273554707,15.45427227,3.333545945,1.536170951,11.49311418,3.332751213,8.660058848,19.63777895,2.079627733,11.63173924,2.360584553,2.45324041,4.512531356,1.015372623,2.058533174,0.852425625,6.573946023,6.442462971,6.097523703,19.57024909,2.633240529,15.03528605,1.155215598,0.764784653,2.233886505,2.489443643,5.727300978,8.311380342,2.693052042,1.801275679,14.41733895,1.215775645,1.222076397,0.725567847,18.71721999,18.13933784,0.830240234,2.348832551,2.49920735,1.635597392,0.914026118,17.5970769,2.740673476,3.95215517,2.792143973
26,6.458,73,Acetoin,C00466,82.2,HMDB0003243,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,1.612330775,1.583595533,0.897117617,3.267413938,1.308119182,4.993756726,2.699284328,1.346150161,1.735676613,0.613141708,1.484480286,1.760852868,1.637268431,0.77621521,0.415075191,2.347416044,0.479517929,0.864807185,3.707373889,3.25611502,1.859272358,0.846969452,0.339795573,2.45871479,1.865492996,2.023610051,0.597093223,0.60732297,0.032716005,0.385285514,6.758704854,1.237604617,1.99643473,2.547344537,1.431981014,0.681831698,24.98500644,1.394437813,2.392607207,4.043601452,3.958686681,0.529982,0.279088624,0.369746517,3.857169397,3.378586164,2.373203227,1.000663152,2.07981222,1.618525462,0.506499862,0.54302538,0.978477719,1.141639918,1.595603089,1.217385345,1.746336328,0.357444903,0.566119638,0.664394357,0.697004958,0.378096729,0.616719949,0.665304917,0.288166707,0.282568841,0.959523461,1.955766732,1.720851123,2.523859424,2.69266014,1.949140781,0.232095025,1.837229084,2.095959383,1.440714799,2.27582467,0.888073696,0.486382203,1.987604084,2.704779385,1.047736783,2.361868222,0.624918153,1.505374532,1.349756628,1.40E-08,0.363989011,0.925698269,1.695544359,0.863796279,1.203096665,0.162642875,1.172927254,0.934929501,2.531365848,0.693788665,0.604182178,0.688180436,3.540496067,0.520270818,1.773303589,0.859490171,1.664312899,2.054139204,1.500594538,0.820060641,0.315982184,0.385523476,0.509636455,1.612975228,1.105412464,0.008881543,0.691181732,0.779663678,0.715704953,0.911620826,1.574775369,0.549332314,0.721070506,0.769462051,4.731071707,6.122911281,3.20314358,1.597243432,0.96422745,1.405395644,0.168225778,0.767270006,3.066053567,1.032507188,1.26815898,1.242753257,0.971642651,1.98453421,0.543372965,1.329436453,1.078893893,3.830589597,0.311861723,2.339870856,1.33592913,1.604446306,1.6139375,2.286398146,1.294223015,1.145612314,0.555730896,1.163319247,0.481002644
27,6.491,147,Ethylene glycol,C15588,89.7,HMDB0037790,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,0.457332694,0.328252165,0.303210254,0.711159586,0.077965304,1.023838675,0.827158854,0.37681879,0.407319106,0.103864993,0.245263148,0.150224983,0.408329687,0.259927343,0.212366475,1.158313374,0.24606744,0.176101977,0.633796255,0.829993216,0.190179674,0.187244963,0.323905623,0.21345642,0.101959959,0.145579791,0.007475904,0.227933091,0.087088545,0.140424532,0.915529453,0.193670161,0.306847561,0.17450413,0.123099991,0.346508907,0.392489917,0.430364461,0.10802539,0.014384772,0.00189673,0.103212735,0.108772785,0.13696785,0.369300299,0.3820258,0.309469341,0.122529443,0.159684995,0.392217492,0.011990398,0.143352607,0.272409336,0.027578196,0.344007287,0.03592501,0.210046728,0.190247206,0.127932298,0.238546069,0.304064485,0.012255045,0.171115896,0.187439493,0.120661778,0.107337753,0.146197644,0.589829921,0.422875134,0.136757803,0.380512852,0.156236772,0.200746743,0.194937033,0.060163322,0.23875297,0.169177539,0.115242021,0.04992285,0.566425004,0.485426594,0.13191209,0.284599079,0.096635126,0.176209541,0.182522588,0.102790228,0.003452979,0.302109024,0.274054501,0.114683933,0.390543587,0.010824165,0.198616791,0.069144277,0.806215881,0.088677607,0.056978616,0.257710811,0.617358436,0.172898804,0.065537371,0.197950279,0.157678845,0.247043286,0.185416475,0.03486627,0.161197812,0.080121867,0.190751021,0.315221107,0.328779798,0.343070725,0.056379657,0.091893519,0.286773998,0.136496238,0.140102535,0.179013797,0.131335002,0.189737507,0.146329889,1.996447641,2.06304727,0.297001216,0.122971796,0.152514354,0.047017688,0.018664926,0.389716103,0.006127068,0.221814527,0.204459567,0.11258998,0.184386142,0.247718444,0.107316916,0.197612984,0.742962778,0.216819411,0.085240193,0.281089666,0.198202168,0.134351307,0.222421993,0.126604887,0.237894305,0.445988035,0.282508729,0.000927718
37,6.643,73,Quercetin,C00389,73.4,HMDB0005794,Phenylpropanoids and polyketides,Flavonoids,Flavones,0.019665082,0.002131506,0.115455288,0.000197162,0.111652772,0.115827345,0.025676612,0.214535526,0.061102785,0.007375993,0.631173763,1.457981575,0.141762917,0.262155542,0.011862001,0.093026754,0.003824397,0.283774703,1.111763174,0.020448043,0.030626977,0.080723232,0.257317122,0.060861515,0.003874101,0.873155173,0.015762356,0.009143744,0.015437873,0.144227429,0.136772637,0.66058027,0.019110271,1.175428855,0.170174921,0.095949644,0.031524231,0.046787701,0.016507422,0.019710915,0.712885244,0.398173615,0.012488236,0.118048565,0.120933115,0.04106662,0.987428339,0.333971438,0.013616379,0.335985686,0.009177905,0.17562605,0.77000976,0.326505613,0.371501911,0.016636208,0.828435269,0.013895637,0.569905902,0.249444943,0.915269776,0.125647877,0.972266129,0.157254781,0.180866361,0.131565851,0.172182111,0.028274994,1.349261635,3.794625669,0.032268346,0.146940925,0.08404012,0.771565443,0.779792215,0.146655094,0.039821191,0.014862275,0.031668597,0.051883863,5.716028934,4.783867983,0.037538365,0.284175566,0.00172814,0.101093774,0.007784806,5.7379867,0.465525156,0.089967642,0.322069828,0.04722491,0.184117485,0.011516482,0.051687899,0.264486717,0.257829875,0.855564563,0.001715143,0.211313565,0.039340982,2.857482561,0.138946107,0.56416779,0.25003802,0.001695464,0.336567553,0.567852776,0.149366861,0.202030786,0.180642073,0.322802911,0.156740181,0.043819233,0.233984646,0.208183385,0.224302253,0.70795817,0.200750017,0.042792345,0.067734977,0.031507141,0.90314888,0.41536264,0.852217227,0.089860266,0.671183274,0.254872109,3.235496383,0.015835169,0.016915731,0.129814169,0.180029244,0.085092519,0.819038101,0.166166159,0.466859158,1.978896276,1.483230494,0.001284923,0.011016297,0.227207112,3.481888413,0.253919541,0.726501182,0.020404354,0.170165262,1.755988649,0.265045648,0.045236075
39,6.686,117,Propylene glycol,C02912,89.3,HMDB0001881,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,0.062671723,0.064922557,0.061927955,0.043207643,0.041917128,0.058991052,0.032454655,0.040698414,0.073667442,0.058648733,0.135294212,0.063717313,0.094901301,0.042122819,0.044885907,0.055491954,0.107571627,0.077431691,0.139083508,0.027296408,0.066866914,0.052870853,0.061720708,0.041555158,0.038272788,0.06450676,0.049517413,0.034764296,0.040010777,0.077512962,0.040894746,0.084017927,0.068122294,0.070732779,0.057831237,0.048560425,0.081879743,0.078943801,0.045751236,0.041403007,0.047444609,0.093290308,0.053512085,0.045933652,0.035216462,0.038752655,0.090831449,0.087233744,0.080713632,0.0436337,0.043990974,0.063949951,0.101729182,0.11261774,0.228698667,0.037753651,0.046895058,0.054099307,0.034478179,0.063560985,0.195986207,0.097367764,0.076284267,0.108709751,0.092408047,0.035364235,0.092522298,0.058245758,0.208310749,0.158885832,0.129845404,0.053053534,0.05620881,0.046792128,0.086922995,0.08435178,0.073204299,0.053753293,0.044807407,0.030722422,0.099657756,0.133167562,0.358274721,0.053817792,0.081398278,0.13319689,0.049716145,0.309359814,0.394621972,0.170920179,0.113380588,0.055209342,0.005191943,0.065704975,0.089144236,0.030758235,0.050707281,0.17735723,0.033247842,0.034636973,0.061405811,0.135595787,0.68929309,0.063574454,0.054433478,0.176355902,0.056050962,0.064205916,0.047532562,0.040936067,0.072610734,0.050647681,0.144805192,0.063816356,0.045472724,0.066242119,0.075068183,0.452187751,0.051115056,0.053921083,0.0463479,0.096246823,0.061020285,0.046068355,0.08967895,0.063888135,0.2122401,0.04524783,0.062723842,0.083467434,0.055088007,0.073175174,0.031865181,0.075926343,0.13671024,0.054067807,0.055740148,0.059865888,0.156844142,0.114238731,0.073989222,0.066335582,0.374800945,0.126172818,0.085867239,0.052410585,0.056740273,0.203513353,0.511212405,0.082901825
40,6.705,79,5-hydroxymethyluracil,C03088,74.8,HMDB0000469,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,0.016684746,0.095807205,0.027648165,0.012634027,0.006792816,0.00530083,0.003150788,0.008757038,0.014593412,0.013292376,0.129305247,0.018248252,0.127401196,0.180205033,0.013810849,0.04523106,0.127394425,0.129589401,0.009117554,0.022915758,0.03178196,0.054669175,0.025220952,0.016684744,0.012103744,0.165690809,0.014627397,0.001803296,0.015338889,0.02902009,0.041059105,0.010148596,0.142095726,0.106412922,0.046032549,0.012863189,0.044660195,0.096718223,0.008367566,0.027474701,0.047605655,0.193370869,0.021245416,0.018058359,0.008352023,0.005800637,0.311558911,0.281962221,0.021662004,0.085847003,0.0214325,0.01736575,0.194268295,0.142324326,0.069377449,0.042025858,0.03021273,0.012417762,0.009882327,0.13382479,0.234549442,0.017069581,0.122538645,0.004158279,0.02064369,0.017957057,0.087223597,0.000621765,0.30628673,0.073922418,0.004640233,0.116926719,0.014624953,0.118228846,0.052710195,0.453090316,0.039620268,0.024820428,0.061425318,0.024191737,0.788803857,0.163350957,0.566803237,0.022520838,0.069443689,0.049277041,0.084054423,0.037353377,0.068556086,0.375192208,0.00594196,0.030537771,0.026128015,0.00550381,0.076045489,0.062507825,0.01675787,0.043004695,0.00658132,0.040130839,0.023590454,0.048150775,0.155523579,0.019080734,0.083007858,0.076731826,0.031249619,0.023462712,0.020103018,0.013473677,0.018251654,0.055070754,0.017182892,0.020920219,0.024463784,0.059462666,0.021201493,0.028272654,0.030451273,0.013454735,0.202525138,0.11523714,0.344818814,0.003934557,0.631443873,0.080560551,0.004862173,0.034860302,0.020346959,0.014210026,0.02315624,0.105065831,0.004207113,0.066590293,0.152782134,0.094890525,0.129306558,0.132808334,0.210317739,0.99540833,0.113755732,0.094539946,0.265088811,0.130645649,0.004955985,0.010394779,0.124596036,0.021645765,0.109915292,0.065389399
42,6.734,281,"2',6'-dihydroxyacetophenone",NA,82,HMDB0029660,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,0.002820671,0.001472823,0.001440255,0.000443219,0.001527407,0.000511277,8.84E-05,0.001187842,0.002177414,0.00115134,0.005647273,0.00231589,0.001386221,0.001573639,0.001598726,0.000115667,0.001487245,0.000684083,0.000126427,0.000521848,0.002174861,0.00159743,0.002074738,0.001013984,0.002675979,0.001546961,0.002451979,5.69E-05,0.002244891,0.000872383,0.001415345,0.000570514,0.001727315,0.00279878,0.001268202,0.001956635,0.006768847,0.000846758,0.002248106,0.002680282,0.000293155,0.001142654,0.000901432,0.000325071,0.000277303,0.000220361,0.002473321,0.002659293,0.001424209,0.001486066,0.004830572,0.001475761,0.007312358,0.000818095,0.003786023,0.001770175,0.005521726,0.002136103,0.001352779,0.003085602,0.002590793,0.002876579,0.001429331,0.004196591,0.001430557,0.001443635,0.001073162,0.000450336,0.003497452,0.002264588,0.005306558,0.003742471,0.002350756,0.001602787,0.000592512,0.002456365,0.00242325,0.002228435,0.00152896,0.000509223,0.000717463,0.000604054,0.002454481,0.000520576,0.002054242,0.001838921,0.000849651,0.002223952,0.002409883,0.006923204,0.001895742,0.001317442,0.002621357,0.00157821,0.000566581,0.000152166,0.002422569,0.000969263,9.23E-05,0.000469844,0.004819859,0.000639124,0.00077262,0.001984349,0.001991327,0.001499771,0.000817319,0.001228,0.001418733,0.002539244,0.001235397,0.001724375,0.000993185,0.002407295,0.000768525,0.001493449,0.00296729,0.00354063,0.002545158,0.001127335,0.001030965,0.005063705,0.000161589,0.001111918,0.003083001,0.000436059,0.004663694,0.000688398,0.002489175,0.0018263,0.002673562,0.001832296,0.00034999,0.003116515,0.001488078,0.001419573,0.00116085,0.000750931,0.007040346,0.003353602,0.005281486,0.001738215,0.006934989,0.001658695,0.001368307,0.001232429,0.001998208,0.004232709,0.004337178,0.003584373
