ID,m/z,Retention time (min),Ion mode,Metabolites,Compound ID,Super Class,Class,Sub Class,kegg,Score,Fragmentation Score,Adducts,Formula,Mass Error (ppm),C115_N,C24_N,D36_N,F20_N,F44_N,G30_N,X117_N,H11_N,H17_N,H35_N,H4_N,R114_N,H46_N,J32_N,J38_N,L28_N,L3_N,L50_N,L6_N,L9_N,L113_N,L112_N,P1_N,P21_N,R25_N,R29_N,R51_N,S15_N,S2_N,W116_N,W14_N,W18_N,W33_N,W37_N,W5_N,X13_N,X22_N,X34_N,X49_N,Y10_N,Y12_N,Y19_N,Y27_N,Y48_N,Y7_N,Y8_N,Z16_N,Z23_N,Z26_N,Z43_N,A41_T,C24_T,C115_T,W116_T,C99_T,D36_T,D65_T,F20_T,F44_T,F69_T,W105_T,J111_T,G30_T,X117_T,G80_T,H11_T,H17_T,H35_T,H4_T,R114_T,H46_T,H63_T,H78_T,H85_T,H91_T,J32_T,J38_T,L28_T,L3_T,L50_T,L52_T,Z58_T,L6_T,L68_T,Y102_T,L75_T,L9_T,L90_T,L95_T,L97_T,L60_T,M72_T,N39_T,O31_T,P1_T,P21_T,P88_T,Q93_T,R25_T,R29_T,R51_T,L64_T,R82_T,S15_T,S2_T,W59_T,J106_T,S86_T,S92_T,T42_T,T45_T,W14_T,W18_T,W33_T,W37_T,W5_T,Y57_T,L61_T,W66_T,L103_T,W73_T,X13_T,X22_T,X34_T,X49_T,L113_T,X94_T,X98_T,Y10_T,Y12_T,Y19_T,Y27_T,Y48_T,L112_T,W101_T,Y7_T,Y8_T,Y89_T,Z16_T,Z23_T,Z26_T,Z43_T,W62_T,M104_T,Z76_T,Z81_T,W108_T,Z84_T,Z87_T,Z96_T
14.49_477.2863n,478.2935501,14.49213333,pos,"LysoPE(18:2(9Z,12Z)/0:0)",HMDB0011507,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,,58.4,95.7,"M+H, M+Na",C23H44NO7P,1.538544238,740.6029522,1798.107995,4136.995101,187.0105777,1612.082811,1770.455115,588.9596295,2116.985844,914.461544,1633.116981,2106.292812,451.3135882,1811.64623,5953.651572,1927.396832,4282.382205,3936.765416,943.7151306,1594.901774,965.9936198,717.421657,1805.419226,1583.625677,6510.92736,1713.679196,3921.45962,1438.349082,1752.395734,764.6913026,626.8943792,2400.695549,4943.498072,2131.419018,1678.62725,555.2617721,1916.624098,1342.864898,495.1639448,1291.255734,973.3091442,2073.049541,4697.016646,5623.156567,1045.178396,1054.498276,671.960788,535.086778,1363.174388,1944.709045,3083.3813,403.8478418,218.4061688,357.4315461,307.1241069,258.6383154,430.5775544,227.1172886,278.1898589,229.3177507,152.5685968,447.1682793,222.2464337,291.3971029,290.4883833,416.3237772,540.6427127,278.0238387,651.9822127,335.1560397,393.4568831,275.6982652,274.0921585,579.9925303,421.0893633,1021.918032,435.6532318,246.7883173,701.4599036,289.546641,382.6993944,101.3395534,356.4385223,158.4454707,122.5185226,395.8664517,278.1906246,293.0619954,466.2381524,739.3561311,257.8399383,542.5703679,363.1110731,698.9350879,226.06086,432.7104093,323.1176429,318.3601992,203.8768802,344.9170266,521.6021222,337.9262593,713.6224763,484.5927528,203.831882,255.5644259,606.8675982,237.8493461,298.1786202,280.3879558,776.3565453,535.1570325,423.2397717,184.1055525,633.7354525,726.0223795,219.6472015,342.7782207,109.4084151,159.4040897,319.7025286,237.2158929,432.861648,262.8393544,2096.627758,362.6848195,108.0359631,244.2659772,1145.213623,192.4256229,205.4373371,301.1295586,649.329141,348.4919957,288.5864072,243.2912876,339.0136783,241.3548386,361.4241885,2159.478412,291.2140447,229.8458166,298.1181769,215.3072569,201.4318079,381.1831211,479.7180812,173.4283248,192.29943,736.8408947,761.4788553
14.51_519.3333n,520.3406003,14.50758333,pos,"LysoPC(18:2(9Z,12Z))",HMDB0010386,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,,58.1,93.9,"M+H, M+K, M+Na",C26H50NO7P,1.606528695,8171.494663,8005.95464,20748.4542,2617.154488,10210.03539,10670.72761,6637.112937,9609.387134,7188.903112,12078.17287,10677.33485,4042.741124,10686.91594,24800.37543,10566.59228,16035.766,22200.1068,8705.333212,9228.842911,7119.232679,5114.2104,12403.69062,9750.418576,24798.02856,8701.248916,13885.46886,14351.14116,7124.403539,7986.688701,5133.182184,11008.8841,17211.9056,12406.69486,10771.88275,5850.910936,12255.87563,10413.41467,7389.350172,10769.49068,7567.387656,11361.02398,15112.40812,25793.35098,7743.668774,4554.864323,7005.605475,6086.888072,15112.81557,9181.765158,16527.05589,12299.43731,5026.212585,18061.53001,8535.451564,5193.229079,11195.72061,3898.006791,10846.58681,5747.393061,3955.046799,19306.4981,7174.353529,8477.765497,13581.60654,10834.76828,25556.33338,6692.110616,20669.62694,5833.655301,13450.17899,3593.367589,6121.026194,8706.200205,6466.454275,11153.38151,9829.441032,1982.491956,15629.4786,9500.697589,8346.919095,1994.677275,12473.08712,4007.579155,3123.884691,9991.965258,6856.795493,4450.826838,9715.803637,17789.08867,8129.335887,22394.97968,11429.16378,12394.21144,3518.608847,13122.57832,14735.1831,8694.985106,7489.870684,12630.47655,11025.43414,17059.14573,20088.20755,21838.2656,6154.530831,4560.159972,13345.72018,8707.84061,7518.533222,8097.926617,37920.51848,25120.92766,7148.558454,3205.419789,15289.44038,38987.87501,6172.474603,5892.248629,2223.139331,8399.98777,11062.69284,7198.158853,11335.12571,4156.240892,28433.91872,17837.75451,4283.291531,9631.681372,11985.04645,10579.04159,7170.952823,13041.14221,5612.005495,18229.50101,15256.75912,6910.799112,6085.398913,8179.518006,4094.982093,23530.3688,6318.536673,4483.038323,7948.426088,8559.805198,15037.8098,3734.095368,7987.158705,5652.576136,4542.114692,27632.74835,33240.13664
1.39_203.1161n,204.1233744,1.39245,pos,L-Acetylcarnitine,HMDB0000201,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,C02571,57.9,92.7,"M+H, M+Na, M+H-H2O",C9H17NO4,1.673850515,1841.199916,696.6607011,230.1185571,2052.820733,339.1661525,592.8390506,812.7478535,225.3246742,705.8976806,856.6338842,577.5154781,820.0466526,215.0746655,215.5668148,285.350775,557.0276652,472.2601864,1348.43468,96.1334045,699.4722348,593.8627423,505.3188779,1301.984399,678.6404306,321.2251352,1252.065867,2327.135677,93.09755122,1098.179597,949.1389024,361.8785979,467.3373318,183.1914979,213.8524412,1676.805899,347.6468937,845.970869,1959.07832,395.1127557,379.1464243,745.7406602,290.818129,755.308204,238.9763719,308.1193,262.0210225,1512.666458,1131.556646,290.9132759,708.644484,4151.836445,14986.62872,9344.875714,7846.585071,7179.010633,4525.354121,4079.790866,8910.845707,5400.936866,1542.927921,2962.982892,7697.558787,9544.094595,3546.88283,3782.087119,8371.454608,4255.88485,4484.796878,4013.403483,4729.413143,4256.742039,1443.224811,3345.937488,3524.650847,879.3270077,2957.417709,967.8801127,5238.717237,13576.78161,5692.336587,2202.125577,6831.155334,7001.807836,5034.031605,9685.975153,2256.375562,4349.334534,906.3204982,2090.719631,3034.241548,8366.516679,3420.912943,3425.231285,1720.159192,6846.792866,5872.289129,2795.971164,1784.951675,3670.462602,2715.813177,4675.005157,2631.447672,3097.796925,4333.812021,3358.323535,4162.166491,2653.336522,4862.745569,4428.042262,3969.455992,1846.226526,1371.743857,4051.95499,5252.880549,6992.742905,1673.007916,3013.129727,2286.899526,3264.869719,4802.24352,3851.294892,3311.77597,7742.849033,11291.06846,9140.854468,5778.93772,1997.952782,1566.289497,6786.99717,3317.017516,8154.123906,1348.229031,7319.84663,10065.18758,4306.69983,3429.7884,20135.42048,2908.345074,1592.549347,1783.215998,1821.71622,3311.8603,2486.962174,4413.885335,2005.60496,3692.158804,3343.469276,1072.570749,4861.077079,6778.625761
13.30_449.3141n,432.3108026,13.30123333,pos,Glycoursodeoxycholic acid,HMDB0000708,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",,57.9,93.2,"M+H-H2O, M+Na, M+K",C26H43NO5,-0.072684969,23.00469947,17.41117799,9.085217505,27.23417327,4867.575475,22.87407928,54.02171799,39.25920242,113.2575694,42.47069318,26.52678355,29.79474023,30.30928375,25.09142983,71.90416857,10.61153234,15.08765413,14.79303566,24.49235181,49.39075106,6.83849378,7.945760452,57.6532946,19.78549896,75.74065092,155.0912793,138.6089342,39.37114697,10.97554679,44.88075544,15.14334865,38.14397514,18.76926918,8.112531017,90.18392318,9.573829089,252.4868277,77.96250343,41.30377089,136.0576081,9.539620431,19.046482,37.87678912,23.69432465,13.66443275,102.8166217,51.07660863,198.2103226,92.8351539,36.06697502,31.68762451,8.948715724,53.14587754,88.79071833,14.89168111,7.509510306,70.86784892,18.17464367,122.1495648,8.210443239,61.22526261,26.62046911,41.2245905,99.29759695,49.95396891,25.67443699,96.56296138,34.80694921,43.58479305,172.7094752,58.01800123,1135.438774,28.40444379,117.3917373,15.00147169,24.26573389,127.970083,12.20018738,5.465959114,7.802920492,121.8870557,14.70143205,47.40354932,52.7514081,13.16818185,111.0962428,92.75815202,35.33958876,297.8791991,44.5000182,17.72350387,20.8090413,12.47290299,23.31081978,56.07810671,43.95437482,108.7444859,28.46188972,25.60031505,88.40625001,53.8417528,5.152568387,30.4142078,81.36354381,25.17486091,119.9890386,2485.881919,66.64452995,15.64676614,1197.013254,158.4222163,18.25662066,30.39500401,10.29934913,4.49825445,63.90474489,78.29560092,61.9230842,49.78539805,9.231411536,55.16498637,98.72967629,691.93389,7.524610882,94.11332641,45.49636974,49.87050719,37.87549619,112.7393592,32.44182932,21.13806749,44.24886247,10.54991201,14.55630646,101.3035831,16.68148499,101.469457,123.2936811,667.6236305,154.9850567,208.7627946,7.68535826,76.94452377,53.79398051,141.6971724,60.00683198,64.59764089,102.0963478,16.05286404,102.0374987
6.58_172.0982m/z,172.0982087,6.579533333,neg,N-Acetylleucine,HMDB0011756,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",C02710,57.9,93.4,M-H,C8H15NO3,1.685743503,2.096330782,7.252823595,1.950118038,1.781632329,4.908709395,4.346953086,3.791970113,5.4721924,5.01683931,5.72725024,5.287436222,4.303447605,3.517288096,7.634732226,6.16239125,4.353015114,3.937681343,6.056708038,10.0505447,4.925175689,2.811768268,5.365309967,3.140299326,5.328451395,3.07688351,3.571428539,3.242552543,13.77280599,2.689645694,4.574744521,5.729195901,5.003287818,4.269091319,2.451094084,1.245721427,3.38190178,3.340585826,2.298099095,3.63113606,5.308420789,7.168553305,4.296503511,4.981140473,2.599772557,6.565426358,12.58772668,6.082076577,3.776581353,2.635330233,4.921138928,3.266039532,3.615638935,5.894671112,2.734562937,3.243631389,2.56543168,3.656749934,7.048969457,4.553190911,2.746858683,0.881817899,11.50855026,2.56234826,6.933685718,4.218991906,6.078353793,1.595277002,2.32008929,1.176285527,2.353357862,0.53873621,0.854299081,1.641011661,0.712930426,2.670331602,5.125791888,0.589680486,1.995343464,5.021535962,3.159002252,0.855226874,11.32033159,2.52764659,3.180328366,0.553415692,1.122913171,1.756564609,4.598304425,3.472020743,1.054838332,1.559947823,4.592474263,3.072914531,1.110209021,3.426434886,12.2926686,4.939458248,4.009956213,5.930847327,3.458555994,4.10907306,17.42505937,3.714047132,2.293776947,2.889212381,1.698403097,5.458664987,0.77237727,6.675325228,3.065196347,2.700192722,3.549412539,2.247512209,3.02748307,3.977721744,1.276046792,1.286502515,1.003955749,6.152852215,3.259221041,1.149896982,0.928600085,1.2237854,1.259326408,5.225418581,12.21837956,10.15389713,2.365014941,4.821610403,1.202163176,3.391409168,0.731146614,7.032594601,7.517608492,5.490425668,3.087519049,1.487811162,0.475326335,0.508864023,0.902028415,1.003447569,1.35939765,0.88676582,12.49009949,1.200310628,3.865392886,3.161613191,1.977284252,0.55060657,0.473416945
12.76_465.3097n,466.3169396,12.76226667,pos,Glycocholic acid,HMDB0000138,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",C01921,57.8,93.3,"M+H, M+NH4, M+H-H2O",C26H43NO6,1.343369096,3.959004076,9.001658963,8.723980703,8.55061036,3080.277848,32.93232531,9.260395116,40.86064673,106.4955229,23.01031497,42.46429883,18.67579516,17.36046078,22.39608683,51.42264694,1.852509697,12.00417499,13.26101053,18.5621928,15.05446269,1.318498246,19.77113344,6.741523945,21.49021943,44.4698813,111.5166206,48.07834783,42.19951367,5.365874791,7.809749034,7.393238575,17.03715495,9.197516248,9.332272997,64.1651837,13.02854702,147.7325672,45.78514342,70.95900338,110.1084768,3.426481456,17.11712815,19.25921427,17.78843593,7.42187398,55.43935943,28.6626102,74.42030425,165.6635351,28.66920157,3.71509734,1.693283414,4.454392751,6.611229099,4.963213704,1.891812287,1.791559437,4.204633136,50.35312757,0.531682533,6.059886811,6.048098389,31.61360709,8.859492304,22.50084061,7.385578889,32.51332146,5.003442686,18.13050887,10.92003959,12.84365784,369.8713628,4.388373924,27.27625346,6.87561065,5.692802403,29.83816668,0.474059818,0.922208943,1.216050752,6.184123725,1.886107714,8.618924375,3.640102759,2.748121852,7.597349803,3.113698725,4.729625438,21.92513273,7.319597017,2.392672134,10.04712203,2.677907391,0.831868541,1.626728522,6.631183104,14.42672262,7.072456868,11.06381123,14.50548564,12.10695786,0.852251101,1.572048909,36.38638864,4.910997684,30.88796021,1298.416328,5.753789127,5.426281425,516.6321824,49.05632551,1.718227008,1.575210022,1.261524823,1.565144578,19.86463302,17.32592957,4.823030507,10.84770842,1.166458077,6.738633999,16.01825001,92.948984,3.618101318,26.40326694,1.970781263,11.76924371,14.12670801,35.45278767,2.361332292,6.761332991,3.383798867,4.00719969,8.336878367,19.15407072,4.670737455,19.90845638,11.99661114,107.5890173,12.41473666,60.17990394,1.333943306,19.89733421,5.264453508,12.12318348,12.26298427,10.0744632,18.00957108,10.2577402,3.257653969
13.47_449.3148n,450.3221234,13.46645,pos,Deoxycholic acid glycine conjugate,HMDB0000631,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",C05464,57.8,93.6,"M+H, M+K",C26H43NO5,1.610228332,1.01E-12,2.16591741,0.656253257,4.356340987,3670.051338,1.680965083,6.635345153,7.024820519,9.230809095,1.524331338,4.748257836,0.203041814,7.260573754,1.725030665,8.443195535,1.01E-12,4.941685064,1.8103427,1.755259292,8.460865313,0.175749304,1.01E-12,9.156586199,3.63004565,11.54606452,32.89556104,16.28767286,8.035335348,1.116697647,2.976643307,0.229612563,1.520878218,1.587568901,1.01E-12,27.88000783,0.237740476,57.19659341,5.057738492,3.854601099,13.18797439,0.84033405,0.63771669,3.02797576,2.830219508,2.08E-05,26.55405858,2.479819768,23.43364239,13.1551979,15.62469237,0.614002667,1.01E-12,2.0251743,11.11579565,0.051001552,1.01E-12,2.922814919,0.414839193,52.98577924,0.421943731,2.773089781,0.000279739,1.01E-12,8.374183814,3.458145488,0.323238731,8.125918402,0.049823771,6.770523814,19.66406662,8.349164554,808.0854779,0.000105742,24.33101358,0.294922343,1.01E-12,35.2837692,1.01E-12,0.725840051,1.01E-12,8.447739843,1.01E-12,2.736207168,1.839086364,0.461939341,19.14323052,9.006866403,2.620932944,50.60168605,0.119281476,0.264373547,1.01E-12,0.324737783,1.500662,7.715035167,4.94889632,27.60695008,1.052151591,2.036774679,10.41481243,1.01E-12,1.01E-12,0.000606341,12.17608825,3.415222037,17.68873187,302.5657698,3.7721984,0.033440577,133.0820099,54.72514091,0.002677995,0.082256164,1.01E-12,0.185114127,19.09255153,23.63481097,4.574521676,11.14861676,0.222906596,8.134679314,9.187283386,119.2460132,1.029765253,0.354445864,3.867907316,13.96201667,2.468429339,9.14085168,1.196665015,0.095848969,2.253201252,1.01E-12,3.46E-07,2.692938059,0.543334365,8.49816162,5.13367613,68.43516129,14.03200474,20.99323974,0.488598983,6.549593037,1.194532197,14.14159332,2.860849909,3.329364,31.59340056,0.981443634,7.363049851
12.38_285.1366n,286.1439171,12.38463333,pos,Piperine,43568,Alkaloids and derivatives,Unclassified,Unclassified,C03882,57.6,91.5,"M+H, M+Na",C17H19NO3,0.516365113,55.64226337,5.990217231,8.404102077,0.527054173,6.34272106,1.542807664,51.58095457,7.993822938,399.9122906,25.12765569,45.23634904,9.676887524,0.290092065,4.941985716,2.243581062,390.9825023,20.18075215,115.4592211,26.94157498,37.85344921,225.4137609,145.8295783,10.38696063,4.983883936,1185.750012,2.392900661,33.38218344,29.63465875,16.45511853,14.45872148,10.80485563,181.0215006,120.0805443,59.64478171,19.7620898,18.5202598,140.6699801,32.9598511,17.10154556,13.11058006,25.90257248,93.45472682,92.37336703,3.33154522,21.56685521,67.72234102,1.933394293,64.06480384,15.09562151,282.2756293,109.3802422,6.363716124,104.4203407,17.58342473,7.351570455,10.74100575,13.27792983,0.753217093,7.975179132,8.08242704,12.38991235,156.5435446,0.8130451,96.88778476,22.27902543,14.82039182,373.6802388,17.80599283,50.11513534,24.59844714,0.278747703,43.99105117,2.501672353,547.9273269,44.55786348,6.648443739,0.148208189,476.0295846,18.44883852,87.97488951,65.22831553,41.57276779,14.16765238,30.46191375,7.637519425,134.2317255,24.47458612,0.083145323,158.8616748,5.461835397,39.23155655,26.72264765,31.88266894,1.024638488,12.36732018,3.780753044,87.87468846,11.32322822,296.4864674,1.187949923,29.46424838,156.5769983,1.25308964,31.18097764,16.4738713,103.6594897,43.7927093,9.012207945,15.29420633,122.151139,44.93981193,14.77080391,121.1710741,163.2303467,50.05101181,12.2534451,23.97406375,1.324219667,22.00427379,9.081883304,0.041821492,32.21470947,234.1881416,78.54468052,13.11517507,497.4363759,0.835921398,19.71329971,16.91640654,28.13352534,66.83650051,97.15469276,4.223632487,177.5404147,1.958888841,23.02903364,67.00127223,8.2740519,47.55213119,61.56904302,10.47980134,395.3634413,12.50800209,6.922503317,364.8916834,14.53298927,87.64954878,1.092479612,1.991071558,1.328456149
1.28_280.0924m/z,280.0924344,1.282816667,pos,Glycerophosphocholine,HMDB0000086,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,C00670,57.5,91.1,M+Na,C8H20NO6P,1.51571005,405.5109996,95.23753635,123.1715848,114.467565,44.91953819,98.90070468,350.2190792,149.1359723,94.94192379,110.6158957,210.7873622,183.1529353,41.60672048,158.7899509,70.20348837,53.90239035,90.41452769,103.3764735,136.6802487,85.69984964,279.5328896,279.4694111,184.8086481,173.575082,88.88187074,33.0180784,101.896899,93.89578175,374.7836046,276.4811217,163.4344529,157.7982127,116.8064083,32.20977689,107.8604187,179.6750234,154.168091,42.14545583,72.94531501,47.56964314,299.3870207,144.40117,26.24869784,95.70296931,283.1211273,312.0156268,53.47290006,155.8271543,46.02245081,68.3461252,553.488396,1999.200583,739.1279443,432.0529343,483.4771447,1303.041125,238.0034343,808.6740379,466.1787464,257.1352481,886.3495491,438.4052052,825.6687246,1237.166857,414.8870471,687.3009113,775.0477247,1571.229639,267.8891653,382.8286271,32.07860733,508.2156193,162.8237424,312.8584113,211.8093127,1114.723616,6.13327839,662.0877036,2003.184693,1292.387745,36.00348822,295.923882,959.2195835,1804.786085,553.3441049,265.29337,1104.949003,955.3076948,303.9099122,586.7729636,596.3162724,433.6707721,153.9785273,676.7292445,1338.738188,797.8681808,445.2077996,715.5414867,905.3359113,465.0701081,484.098185,1459.78799,734.3681669,902.7193618,947.4739431,567.026385,533.5522898,324.3593845,662.6456363,987.9401368,491.3264138,1003.862702,181.3400831,631.212633,387.1077844,1173.528101,74.40413235,48.16714622,825.4438873,722.1386974,684.3895318,599.1107432,692.7902942,297.3423916,629.5346396,1826.331981,518.7616554,528.015009,860.1291281,759.5190666,639.2257722,63.28162236,405.9927774,831.5946908,864.8477174,1052.442914,659.1030621,215.4744451,169.7599933,991.4718806,498.3770766,309.0599171,414.4002376,832.6973982,310.7007779,1002.093744,571.8255862,288.6331032,472.172167,258.802126
1.30_162.1127m/z,162.1127214,1.299816667,pos,L-Carnitine,52,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,C00318,57.5,90.1,M+H,C7H15NO3,1.562139986,1472.092841,2161.746523,2255.509368,1006.674901,2250.858495,1713.595497,2318.098212,2078.860459,2364.974386,2229.842376,1866.491701,1667.297028,2102.200631,1453.579944,1890.050739,1831.03258,2055.580031,2532.739892,1919.376127,1637.703065,1917.163997,3138.335571,1501.799563,2773.770632,2014.041954,1463.80182,1509.183128,2403.878484,1359.897049,2299.862396,2184.508822,2773.054799,2090.58809,1271.902798,1399.844555,1667.273632,3036.967084,961.4612753,2576.321679,1962.059607,2578.59144,1567.690863,1988.09001,1543.967203,2124.186129,2866.605765,1470.181193,1684.335086,1417.867798,3591.829255,2178.458803,1407.47694,3541.783482,2705.42676,1767.434247,2325.044431,1585.885815,3697.073437,1705.416226,1245.510813,3315.774208,2277.561642,3013.077849,3317.681294,1980.374455,5440.858539,1980.738156,3776.99305,2168.664215,5015.780989,1604.002161,2035.591178,1870.076964,1075.105671,2009.982678,2034.755209,847.6778063,3766.993988,5704.001631,3241.940169,1905.824253,6224.121003,3696.415649,7924.309386,5947.243427,4175.382598,1435.632011,925.3778913,2242.337526,2056.320314,9209.01581,4122.097244,1310.81491,888.9654396,2421.057976,2675.886928,1919.609936,1324.450773,5042.552599,2075.259052,4040.875672,1938.41041,4945.964329,999.2472913,1761.192171,4069.187859,4741.379971,2181.251167,2981.896237,3915.18088,1077.357559,1397.157759,4633.491867,2202.560856,4343.504306,1259.56542,1641.494101,1322.161639,1332.871219,3034.831339,3217.449558,2233.646623,1745.493353,4720.415756,3430.812512,3804.85994,2023.525887,3331.774631,5416.111102,5142.874922,2910.624445,1646.593061,3542.191475,3914.838972,7625.879877,1897.848027,5117.182348,2811.368006,1645.767805,981.760394,1466.046122,1828.517718,1780.587155,4785.468305,1039.288152,1989.847064,3007.89996,1283.960418,8686.738862,1935.272988
