cluster	gene
B	CD79A
B	MS4A1
B	CD37
B	CD83
B	LY9
B	BANK1
B	CCR7
B	TNFRSF13C
B	ADAM28
B	LTB
B	SPIB
B	HLA-DQA1
B	BLK
B	CD79B
B	VPREB3
B	BCL11A
B	CD52
B	LAPTM5
B	SELL
B	RPL32
B	HLA-DRA
B	CD74
B	RPSA
B	HLA-DQB1
B	RPS12
B	PRKCB
B	SMAP2
B	EEF1B2
B	RHOH
B	RPS29
B	IRF8
B	CD55
B	RBM38
B	ARHGAP24
B	LIMD2
B	CXCR4
B	CD69
B	YPEL5
B	SMCHD1
B	NFKBID
B	EZR
B	NR4A2
B	HERPUD1
B	ALG13
Plasma	DERL3
Plasma	FKBP11
Plasma	PIM2
Plasma	CD27
Plasma	ANKRD28
Plasma	SSR4
Plasma	SEC11C
Plasma	XBP1
Plasma	HSP90B1
Mast	TPSB2
Mast	TPSAB1
Mast	CPA3
Mast	HPGDS
Mast	MS4A2
Mast	GATA2
Mast	HPGD
Mast	HDC
Mast	LTC4S
Mast	RGS13
Mast	GLUL
Mast	CTSG
Mast	IL1RL1
Mast	SLC18A2
Mast	KIT
Mast	VWA5A
Mast	ANXA1
Mast	ACSL4
Mast	LMNA
Mast	ALOX5AP
Mast	SDCBP
Mast	DUSP6
Mast	PRNP
Mast	AREG
Mast	ADCYAP1
Mast	SRGN
Mast	RGS2
Mast	GPR65
Mast	PTGS2
Mast	CAPG
Mast	CD9
Mast	SAMSN1
Mast	SMYD3
Mast	CKLF
Mast	RAC2
Mast	ARHGAP18
Mast	ADRB2
Mast	CD82
Mast	CDC42EP3
Mast	CD44
Mast	PTGS1
Mast	NFKBIA
Mast	LEO1
Mast	IL13
Mast	BMP2K
Mast	H3F3B
Mast	LIF
Mast	GALC
Mast	PRDX1
Mast	LMO4
Mast	TNFRSF9
Mast	RGS1
Mast	CTNNBL1
Mast	BIRC3
Mast	ELF1
Mast	NFKBIZ
Mast	NFKB1
Mast	FOSB
Mast	MYADM
Mast	TUBA1A
CD4+ Th	IL7R
CD4+ Th	ZFP36L2
CD4+ Th	CD2
CD4+ Th	CD3D
CD4+ Th	SPOCK2
CD4+ Th	CD3E
CD4+ Th	CREM
CD4+ Th	KLRB1
CD4+ Th	BTG1
CD4+ Th	S100A4
CD4+ Th	ARL4C
CD4+ Th	LEPROTL1
CD4+ Th	CCR6
CD4+ Th	PTPRC
CD4+ Th	EML4
CD4+ Th	RORA
CD4+ Th	TNFAIP3
CD4+ Th	CYTIP
CD4+ Th	TUBA4A
CD4+ Th	CD3G
CD4+ Th	TRAT1
CD4+ Th	CLEC2D
CD4+ Th	ARHGDIB
CD4+ Th	STK17A
CD4+ Th	FAM177A1
