Fib	pericyte	SMC	IGF+ Mac	FOLR2+ Mac	GPNMB+ Mac	EC	Tex	Treg	Vein	Artery
THBS2	COL25A1	ELN	IGF1	LILRB5	HS3ST2	PTPRB	CD200R1	FOXP3	ACKR1	GJA5
DCN	CD36	MYH11	F13A1	MRC1	GPNMB	FLT1	LAG3	TNFRSF18	RAB3C	FBLN5
PDGFRA	CPA6	NTRK3	GPR34	FOLR2	PLA2G7	ANO2	TNFRSF9	CTLA4	ADAMTS18	SEMA3G
POSTN	IL1RAPL1			FGF13	HTRA4	VWF	CXCL13	CCR8	SELP	IL33
PCDH7	ANO3	COL14A1		COLEC12		ST6GALNAC3	TOX		FBLN2	TACR1
ITGBL1	GRIK3					PECAM1	TIGIT			BMX
LAMA2						RAPGEF4				
SLC24A3						RASGRF2				
						PDGFD				
						EFNB2				
						ADGRL4				
						ESM1				
						RASGRP3				
