,Symbol,Immune subtype
1,HTR2B,IM1
2,CD300LG,IM1
3,COL14A1,IM1
4,C7,IM1
5,DKK2,IM1
6,COL16A1,IM1
7,MEST,IM1
8,AVPR1A,IM1
9,DLL1,IM1
10,CORO2B,IM1
11,TIMP3,IM1
12,SNED1,IM1
13,CHRM3,IM1
14,SEMA3D,IM1
15,SEMA3G,IM1
16,C14orf132,IM1
17,RERGL,IM1
18,CXCL12,IM1
19,MMP2,IM1
20,LTBP4,IM1
21,LTBP2,IM1
22,FLRT2,IM1
23,PTGER3,IM1
24,TMEM88,IM1
25,RAMP3,IM1
26,COL12A1,IM1
27,MRC1,IM1
28,ITGA11,IM1
29,IGF2,IM1
30,ITGBL1,IM1
31,CDKN1C,IM1
32,PPP1R14A,IM1
33,TACR1,IM1
34,VIPR1,IM1
35,TMEM119,IM1
36,TAGLN,IM1
37,IL33,IM1
38,NYNRIN,IM1
39,RGMA,IM1
40,INMT,IM1
41,GLT8D2,IM1
42,F2RL3,IM1
43,CREB3L1,IM1
44,ISLR,IM1
45,EGR1,IM1
46,EGR3,IM1
47,CLEC3B,IM1
48,CRHBP,IM1
49,POSTN,IM1
50,EMCN,IM1
51,EMP1,IM1
52,SOCS2,IM1
53,SOCS3,IM1
54,NTRK2,IM1
55,NTRK3,IM1
56,NKD1,IM1
57,SCUBE3,IM1
58,SCUBE1,IM1
59,DNASE1L3,IM1
60,PTGIS,IM1
61,JAM2,IM1
62,MRGPRF,IM1
63,HMCN2,IM1
64,OPCML,IM1
65,SFRP1,IM1
66,CAVIN2,IM1
67,JDP2,IM1
68,ADGRL3,IM1
69,CCDC80,IM1
70,CSRNP1,IM1
71,MYOCD,IM1
72,PTPRB,IM1
73,AOC3,IM1
74,APOD,IM1
75,SDK2,IM1
76,FREM1,IM1
77,SELE,IM1
78,ART4,IM1
79,SGCD,IM1
80,GRASP,IM1
81,ASPN,IM1
82,ATF3,IM1
83,PCDH9,IM1
84,PCDH7,IM1
85,DACT3,IM1
86,DACT1,IM1
87,FCN3,IM1
88,JPH4,IM1
89,CLSTN2,IM1
90,STEAP4,IM1
91,NPY1R,IM1
92,CNTN1,IM1
93,FGF7,IM1
94,FNDC1,IM1
95,JUNB,IM1
96,JUND,IM1
97,SPEG,IM1
98,SPTB,IM1
99,SLCO2A1,IM1
100,ABCA8,IM1
101,SRPX,IM1
102,FABP4,IM1
103,HSPA12B,IM1
104,FMO3,IM1
105,FMOD,IM1
106,PLCXD3,IM1
107,CA4,IM1
108,FOSB,IM1
109,DCN,IM1
110,DES,IM1
111,DPT,IM1
112,ELN,IM1
113,ADRA2B,IM1
114,ADRA2A,IM1
115,RGS16,IM1
116,FOS,IM1
117,APOLD1,IM1
118,ID1,IM1
119,CASKIN2,IM1
120,NHSL2,IM1
