"A41_T" "C115_T" "C24_T" "C99_T" "D36_T" "D65_T" "F20_T" "F44_T" "F69_T" "G30_T" "G80_T" "H11_T" "H17_T" "H35_T" "H46_T" "H4_T" "H63_T" "H78_T" "H85_T" "J106_T" "J111_T" "J32_T" "J38_T" "L103_T" "L112_T" "L113_T" "L28_T" "L3_T" "L50_T" "L52_T" "L60_T" "L61_T" "L64_T" "L68_T" "L6_T" "L75_T" "L90_T" "L95_T" "L97_T" "L9_T" "M72_T" "N39_T" "O31_T" "P1_T" "P21_T" "P88_T" "Q93_T" "R114_T" "R25_T" "R29_T" "R51_T" "R82_T" "S15_T" "S2_T" "S86_T" "S92_T" "T45_T" "W101_T" "W105_T" "W108_T" "W116_T" "W14_T" "W18_T" "W33_T" "W37_T" "W59_T" "W5_T" "W62_T" "W66_T" "W73_T" "X117_T" "X13_T" "X22_T" "X34_T" "X49_T" "X94_T" "Y10_T" "Y12_T" "Y19_T" "Y27_T" "Y48_T" "Y57_T" "Y7_T" "Y89_T" "Y8_T" "Z16_T" "Z23_T" "Z26_T" "Z43_T" "Z58_T" "Z76_T" "Z81_T" "Z84_T" "Z87_T" "Z96_T"
"1p" 0 0 -0.249 0 0 -0.174 0 0 0 -0.309 0 0 0 0 0 0 0 0 0 0 0 -0.292 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.169 0 0 0 0 0 -0.192 0 0 0 0 0 -0.358 0 0 0 0 0 0 0 0 0 0 0 -0.233 0 -0.653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.568 -0.357
"1q" 0 0 0 0 0 0 0 0 0 -0.309 0 0 0 0 0 0 0 0 0 0 0 -0.292 0 0 0 0 0 0 0 0 0 0 0 0.175 0 0 0 0 0 0 0 0.631 0 0.194 0.489 0 0 0 0 0.563 0 0.188 0 0 0 0 -0.358 0 0 0 0 0 0 0 0 0 0 0.401 -0.233 0 -0.78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.513 0 0 0 0 0 0 -0.183 0.413
"2p" 0 0 0 0 0 0 0 0 0 0.128 0 0 0 0 0.275 0 0 0 0 0 0 0.111 0 0 0 0 0 0 0 0 0 0 0 0.32 0 0 0.424 0 0 0 0 0 0 0 0.144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.342 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.495 0 0.446 0 0.417 0 0 0.506 0 0 0 0 0.404
"2q" 0 0 0 0 0 0 0 0 0 0.128 0 0 0 0 0.275 0 0 0 0.405 0 0 0.111 0 0 0 0 0 0 0 0 0 0 0 0.32 0 0 0.424 0 0 0 0 0 0 0 0.144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.342 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.495 0 0.446 0 0 0 0 0.506 0 0 0 0 0
"3p" -0.372 -0.421 -0.611 -0.348 -0.611 -0.494 -0.475 -0.384 -0.506 -0.5 -0.542 -0.771 -0.658 -0.338 -0.337 -0.588 0 -0.455 -0.485 -0.37 -0.586 -0.537 -0.515 -0.27 0 -0.513 -0.569 -0.539 -0.703 -0.539 -0.133 -0.19 -0.593 -0.436 -0.453 -0.339 -0.425 -0.4 -0.611 -0.618 -0.671 -0.312 -0.511 -0.636 -0.468 -0.473 0 -0.722 -0.58 -0.293 -0.447 -0.307 -0.346 -0.41 -0.553 -0.747 -0.7 -0.301 -0.315 -0.282 -0.521 -0.52 -0.403 -0.466 -0.511 -0.464 -0.299 -0.411 -0.472 -0.463 -0.585 -0.339 -0.432 -0.308 -0.845 -0.452 -0.061 -0.62 -0.482 -0.583 -0.693 -0.425 -0.502 -0.402 -0.598 0 -0.086 0 -0.496 0.093 -0.403 -0.475 -0.163 -0.566 -0.258
"3q" 0 -0.421 -0.611 0 0 0 0 0 0.452 0.113 0 -0.771 0 0 0.297 0 0 0 0 0 0 0 0 0 0 -0.513 0 -0.539 0 -0.539 0 0 -0.593 0.479 0 -0.339 -0.425 -0.4 -0.611 0 -0.671 -0.312 0 0 -0.468 0 0 0 0 -0.076 0 0 0 0 0 -0.747 0 0 0 0 0 0 -0.403 0 0 -0.464 0.105 0 -0.472 -0.463 0.173 0 0 -0.308 -0.845 0 0.506 0 0 -0.583 0 -0.425 0 -0.285 -0.598 0 0.264 0 -0.496 0.531 -0.403 0 0 -0.148 -0.258
"4p" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.251 0 0 0 0 0 0 0 0 0 0 0 -0.201 0 0 0 0 0 0 0 0.341 0 0 0 0 0 0 -0.588 0 -0.486 0 0 0 0 0 0 0 0.265 0 0 0 0 0 0 0 0 -0.401 -0.233 0 -0.296 0 0 0 0 0 -0.639 0 0 0 0 0 0 -0.164 0 0 0 0 0 -0.456 0 0 0 0 -0.229
"4q" 0 0 0 0 0 0 0 0 0 0 0 0 -0.344 0 0 -0.552 0 0 0 0 0 -0.251 0 0 0 0 0 0 0 0 0 0 0 -0.056 0 0 0 0 0 0 0 0.341 0 0 0 0 0 0 0 0 -0.187 0 -0.152 0 0 0 0 0 -0.3 0 0 0 0 0 0 0 0.367 -0.401 -0.233 0 -0.296 0 0 0 0 0 -0.639 0 0 0 0 0 0 -0.164 0 0 0 0 0 -0.456 0 0 0 0 -0.229
"5p" 0 0.636 0 0 0 0 0 0 0 0.15 0.525 0.791 0 0 0.292 0 0 0 0 0.329 0 0.114 0 0 0 0.626 0.57 0 0 0 0 0 0 0.508 0.464 0 0 0 0.634 0 0.669 0.676 0 0.644 0.812 0 0 0 0.365 0 0.526 0 0 0 0 0.786 0 0 0 0.279 0 0 0 0.47 0.453 0.48 0 0.439 0 0 -0.289 0 0 0.401 0 0.436 0.526 0 0 0 0 0.483 0 0 1.19 0 0.195 0 0 0.529 0 0.493 0 0 0
"5q" 0 0.636 0 0 0 0 0.519 0 0 0.842 0.525 0.791 0 0 0.292 0 0 0 0 0.329 0 0.114 0 0 0.438 0.626 0.57 0.405 0 0 0 0 0 0.307 0.464 0 0 0 0.634 0 0.669 0.676 0 0.644 0.812 0 0 0.566 0.365 0.29 0.526 0 0.51 0.409 0 0.786 0 0.257 0 0.279 0 0.478 0 0.47 0.453 0.48 0 0.439 0.502 0 -0.289 0.488 0 0.401 0.79 0.436 0.526 0 0 0.555 0.651 0.483 0.451 0.466 1.19 0 -0.198 0 0 0.529 0 0.493 0 0 0
