	proteomics	transcriptome	color	pathway
gobp_de_novo_pyrimidine_nucleobase_biosynthetic_process	1.345489743	2.282288595	pyrimidine	gobp_de_novo_pyrimidine_nucleobase_biosynthetic_process
gobp_pyrimidine_containing_compound_biosynthetic_process	1.065541806	2.331000552	pyrimidine	gobp_pyrimidine_containing_compound_biosynthetic_process
gobp_pyrimidine_containing_compound_catabolic_process	0.800129418	5.616860546	pyrimidine	gobp_pyrimidine_containing_compound_catabolic_process
gobp_pyrimidine_containing_compound_metabolic_process	1.209321286	5.920408746	pyrimidine	gobp_pyrimidine_containing_compound_metabolic_process
gobp_pyrimidine_containing_compound_salvage	0.576194211	-1.403380906	pyrimidine	gobp_pyrimidine_containing_compound_salvage
gobp_pyrimidine_containing_compound_transmembrane_transport	-0.890242857	0.772057107	pyrimidine	gobp_pyrimidine_containing_compound_transmembrane_transport
gobp_pyrimidine_deoxyribonucleoside_metabolic_process	1.020556044	3.437326775	pyrimidine	gobp_pyrimidine_deoxyribonucleoside_metabolic_process
gobp_pyrimidine_deoxyribonucleoside_monophosphate_biosynthetic_process	-1.229392986	1.156743292	pyrimidine	gobp_pyrimidine_deoxyribonucleoside_monophosphate_biosynthetic_process
gobp_pyrimidine_deoxyribonucleoside_monophosphate_metabolic_process	-1.151034227	3.610535645	pyrimidine	gobp_pyrimidine_deoxyribonucleoside_monophosphate_metabolic_process
gobp_pyrimidine_deoxyribonucleoside_triphosphate_metabolic_process	2.784828543	1.726515899	pyrimidine	gobp_pyrimidine_deoxyribonucleoside_triphosphate_metabolic_process
gobp_pyrimidine_deoxyribonucleotide_biosynthetic_process	0.561956046	1.872508503	pyrimidine	gobp_pyrimidine_deoxyribonucleotide_biosynthetic_process
gobp_pyrimidine_deoxyribonucleotide_metabolic_process	0.811059783	4.847439868	pyrimidine	gobp_pyrimidine_deoxyribonucleotide_metabolic_process
gobp_pyrimidine_dimer_repair	-0.050846394	-1.49019247	pyrimidine	gobp_pyrimidine_dimer_repair
gobp_pyrimidine_nucleobase_biosynthetic_process	0.739166895	1.440864843	pyrimidine	gobp_pyrimidine_nucleobase_biosynthetic_process
gobp_pyrimidine_nucleobase_catabolic_process	-3.774231178	-2.523979253	pyrimidine	gobp_pyrimidine_nucleobase_catabolic_process
gobp_pyrimidine_nucleobase_metabolic_process	-1.04644688	1.711815059	pyrimidine	gobp_pyrimidine_nucleobase_metabolic_process
gobp_pyrimidine_nucleoside_catabolic_process	3.386005741	7.874057499	pyrimidine	gobp_pyrimidine_nucleoside_catabolic_process
gobp_pyrimidine_nucleoside_diphosphate_biosynthetic_process	1.88785979	3.738565044	pyrimidine	gobp_pyrimidine_nucleoside_diphosphate_biosynthetic_process
gobp_pyrimidine_nucleoside_diphosphate_metabolic_process	1.88785979	3.770274401	pyrimidine	gobp_pyrimidine_nucleoside_diphosphate_metabolic_process
gobp_pyrimidine_nucleoside_metabolic_process	4.543809784	8.317604835	pyrimidine	gobp_pyrimidine_nucleoside_metabolic_process
gobp_pyrimidine_nucleoside_monophosphate_biosynthetic_process	0.607011149	1.030390618	pyrimidine	gobp_pyrimidine_nucleoside_monophosphate_biosynthetic_process
gobp_pyrimidine_nucleoside_monophosphate_catabolic_process	-0.518152659	3.972904694	pyrimidine	gobp_pyrimidine_nucleoside_monophosphate_catabolic_process
gobp_pyrimidine_nucleoside_monophosphate_metabolic_process	0.068674002	3.607887735	pyrimidine	gobp_pyrimidine_nucleoside_monophosphate_metabolic_process
gobp_pyrimidine_nucleoside_transport	-3.065326458	-2.590526923	pyrimidine	gobp_pyrimidine_nucleoside_transport
gobp_pyrimidine_nucleoside_triphosphate_biosynthetic_process	0.99801465	1.366784017	pyrimidine	gobp_pyrimidine_nucleoside_triphosphate_biosynthetic_process
gobp_pyrimidine_nucleoside_triphosphate_metabolic_process	1.323558679	1.585961956	pyrimidine	gobp_pyrimidine_nucleoside_triphosphate_metabolic_process
gobp_pyrimidine_nucleotide_catabolic_process	0.768690427	4.906177408	pyrimidine	gobp_pyrimidine_nucleotide_catabolic_process
gobp_pyrimidine_nucleotide_metabolic_process	1.014162093	4.696364292	pyrimidine	gobp_pyrimidine_nucleotide_metabolic_process
gobp_pyrimidine_ribonucleoside_diphosphate_metabolic_process	0.76283138	3.330083816	pyrimidine	gobp_pyrimidine_ribonucleoside_diphosphate_metabolic_process
gobp_pyrimidine_ribonucleoside_monophosphate_metabolic_process	0.167424396	2.102192758	pyrimidine	gobp_pyrimidine_ribonucleoside_monophosphate_metabolic_process
gobp_pyrimidine_ribonucleoside_triphosphate_biosynthetic_process	0.037391582	0.519337572	pyrimidine	gobp_pyrimidine_ribonucleoside_triphosphate_biosynthetic_process
gobp_pyrimidine_ribonucleoside_triphosphate_metabolic_process	-0.249742454	0.961247027	pyrimidine	gobp_pyrimidine_ribonucleoside_triphosphate_metabolic_process
gobp_pyrimidine_ribonucleotide_biosynthetic_process	1.194966191	1.271106491	pyrimidine	gobp_pyrimidine_ribonucleotide_biosynthetic_process
gobp_pyrimidine_ribonucleotide_catabolic_process	-1.274531474	2.575262295	pyrimidine	gobp_pyrimidine_ribonucleotide_catabolic_process
gobp_pyrimidine_ribonucleotide_metabolic_process	0.144848845	2.831750836	pyrimidine	gobp_pyrimidine_ribonucleotide_metabolic_process
kegg_pyrimidine_metabolism	1.415247301	3.899229427	pyrimidine	kegg_pyrimidine_metabolism
reactome_pyrimidine_catabolism	0.53497761	3.422421112	pyrimidine	reactome_pyrimidine_catabolism
reactome_pyrimidine_salvage	1.308102255	1.698685976	pyrimidine	reactome_pyrimidine_salvage
reactome_transport_of_nucleosides_and_free_purine_and_pyrimidine_bases_across_the_plasma_membrane	0.914200162	-1.705274307	pyrimidine	reactome_transport_of_nucleosides_and_free_purine_and_pyrimidine_bases_across_the_plasma_membrane
gobp_10_formyltetrahydrofolate_metabolic_process	0.028986585	-0.569751819	others	gobp_10_formyltetrahydrofolate_metabolic_process
gobp_2_oxoglutarate_metabolic_process	-1.496264907	0.48040261	others	gobp_2_oxoglutarate_metabolic_process
gobp_2fe_2s_cluster_assembly	0.335520265	1.044678702	others	gobp_2fe_2s_cluster_assembly
gobp_3_phosphoadenosine_5_phosphosulfate_biosynthetic_process	0.697445339	-0.459024648	others	gobp_3_phosphoadenosine_5_phosphosulfate_biosynthetic_process
gobp_3_phosphoadenosine_5_phosphosulfate_metabolic_process	0.919659088	-0.459169546	others	gobp_3_phosphoadenosine_5_phosphosulfate_metabolic_process
gobp_3_utr_mediated_mrna_destabilization	0.676318499	-0.047526322	others	gobp_3_utr_mediated_mrna_destabilization
gobp_3_utr_mediated_mrna_stabilization	1.500225575	0.154353312	others	gobp_3_utr_mediated_mrna_stabilization
gobp_5_phosphoribose_1_diphosphate_metabolic_process	-1.052530687	0.178196643	others	gobp_5_phosphoribose_1_diphosphate_metabolic_process
gobp_5s_class_rrna_transcription_by_rna_polymerase_iii	0.069348457	-1.112743799	others	gobp_5s_class_rrna_transcription_by_rna_polymerase_iii
gobp_abscission	0.350758368	1.610944022	others	gobp_abscission
gobp_acetate_ester_transport	-1.052618186	-0.30675021	others	gobp_acetate_ester_transport
gobp_acetyl_coa_biosynthetic_process	0.897563994	1.827811014	others	gobp_acetyl_coa_biosynthetic_process
gobp_acetyl_coa_biosynthetic_process_from_pyruvate	0.674424145	2.691577735	others	gobp_acetyl_coa_biosynthetic_process_from_pyruvate
gobp_acetyl_coa_metabolic_process	1.069218355	0.737339111	others	gobp_acetyl_coa_metabolic_process
gobp_acetylcholine_metabolic_process	-0.473252872	-0.76690158	others	gobp_acetylcholine_metabolic_process
gobp_acid_secretion	-0.965593649	-4.032191408	others	gobp_acid_secretion
gobp_acidic_amino_acid_transport	-1.003355031	-3.004376483	others	gobp_acidic_amino_acid_transport
gobp_acrosomal_vesicle_exocytosis	-0.075134391	-2.899104883	others	gobp_acrosomal_vesicle_exocytosis
gobp_acrosome_assembly	0.019787776	-1.15128623	others	gobp_acrosome_assembly
gobp_acrosome_reaction	-1.781569873	-4.389205556	others	gobp_acrosome_reaction
gobp_actin_crosslink_formation	-0.919605092	-1.309454188	others	gobp_actin_crosslink_formation
gobp_actin_cytoskeleton_reorganization	-2.629953088	-4.374491211	others	gobp_actin_cytoskeleton_reorganization
gobp_actin_filament_based_movement	-3.667249313	-7.690411584	others	gobp_actin_filament_based_movement
gobp_actin_filament_based_process	-4.014664361	-5.834134002	others	gobp_actin_filament_based_process
gobp_actin_filament_based_transport	-3.091035348	1.617368097	others	gobp_actin_filament_based_transport
gobp_actin_filament_bundle_organization	-2.630643604	-6.613927014	others	gobp_actin_filament_bundle_organization
gobp_actin_filament_depolymerization	-1.323181839	-3.169173311	others	gobp_actin_filament_depolymerization
gobp_actin_filament_network_formation	1.23633258	1.043759223	others	gobp_actin_filament_network_formation
gobp_actin_filament_organization	-2.506450811	-3.951594308	others	gobp_actin_filament_organization
gobp_actin_filament_polymerization	-1.070669407	-1.664531087	others	gobp_actin_filament_polymerization
gobp_actin_filament_reorganization	-1.935130574	-4.279546251	others	gobp_actin_filament_reorganization
gobp_actin_filament_severing	1.184162289	-0.608055065	others	gobp_actin_filament_severing
gobp_actin_mediated_cell_contraction	-2.840420772	-9.251123085	others	gobp_actin_mediated_cell_contraction
gobp_actin_modification	-3.212656921	-3.413445272	others	gobp_actin_modification
gobp_actin_myosin_filament_sliding	-2.720880429	-3.125487703	others	gobp_actin_myosin_filament_sliding
gobp_actin_nucleation	0.681945651	1.258277781	others	gobp_actin_nucleation
gobp_actin_polymerization_dependent_cell_motility	-0.618607178	3.231776178	others	gobp_actin_polymerization_dependent_cell_motility
gobp_actin_polymerization_or_depolymerization	-1.187939672	-2.217743026	others	gobp_actin_polymerization_or_depolymerization
gobp_action_potential	-2.249425409	-6.953310435	others	gobp_action_potential
gobp_activated_t_cell_proliferation	0.909915561	3.567297884	others	gobp_activated_t_cell_proliferation
gobp_activation_induced_cell_death_of_t_cells	0.894995987	1.611047426	others	gobp_activation_induced_cell_death_of_t_cells
gobp_activation_of_adenylate_cyclase_activity	-0.824203764	-3.462069504	others	gobp_activation_of_adenylate_cyclase_activity
gobp_activation_of_cysteine_type_endopeptidase_activity	2.261750279	4.669132776	others	gobp_activation_of_cysteine_type_endopeptidase_activity
gobp_activation_of_cysteine_type_endopeptidase_activity_involved_in_apoptotic_process	3.619492176	1.257092433	others	gobp_activation_of_cysteine_type_endopeptidase_activity_involved_in_apoptotic_process
gobp_activation_of_cysteine_type_endopeptidase_activity_involved_in_apoptotic_process_by_cytochrome_c	1.45648167	2.081697353	others	gobp_activation_of_cysteine_type_endopeptidase_activity_involved_in_apoptotic_process_by_cytochrome_c
gobp_activation_of_gtpase_activity	-0.989550585	-1.348954705	others	gobp_activation_of_gtpase_activity
gobp_activation_of_immune_response	0.411599413	4.961497671	others	gobp_activation_of_immune_response
gobp_activation_of_innate_immune_response	2.296476425	5.682841619	others	gobp_activation_of_innate_immune_response
gobp_activation_of_janus_kinase_activity	1.229139581	5.075827595	others	gobp_activation_of_janus_kinase_activity
gobp_activation_of_meiosis	-2.589817268	-3.353934608	others	gobp_activation_of_meiosis
gobp_activation_of_nf_kappab_inducing_kinase_activity	1.538643338	4.316222473	others	gobp_activation_of_nf_kappab_inducing_kinase_activity
gobp_activation_of_phospholipase_c_activity	-1.018913889	-0.114155077	others	gobp_activation_of_phospholipase_c_activity
gobp_activation_of_phospholipase_d_activity	3.18005388	5.858987013	others	gobp_activation_of_phospholipase_d_activity
gobp_activation_of_protein_kinase_activity	0.761430775	-0.37210355	others	gobp_activation_of_protein_kinase_activity
gobp_activation_of_protein_kinase_b_activity	2.092689121	-5.64782657	others	gobp_activation_of_protein_kinase_b_activity
gobp_activation_of_protein_kinase_c_activity	-0.256174994	0.399914619	others	gobp_activation_of_protein_kinase_c_activity
gobp_activation_of_store_operated_calcium_channel_activity	1.263440954	0.270942333	others	gobp_activation_of_store_operated_calcium_channel_activity
gobp_activation_of_transmembrane_receptor_protein_tyrosine_kinase_activity	0.352911015	-4.224417619	others	gobp_activation_of_transmembrane_receptor_protein_tyrosine_kinase_activity
gobp_activin_receptor_signaling_pathway	-1.058355152	-7.190610688	others	gobp_activin_receptor_signaling_pathway
gobp_actomyosin_contractile_ring_organization	1.486004603	2.845075837	others	gobp_actomyosin_contractile_ring_organization
gobp_actomyosin_structure_organization	-3.866893688	-6.370544513	others	gobp_actomyosin_structure_organization
gobp_acute_inflammatory_response	-0.672557027	3.625916579	others	gobp_acute_inflammatory_response
gobp_acute_inflammatory_response_to_antigenic_stimulus	2.791974013	5.755269066	others	gobp_acute_inflammatory_response_to_antigenic_stimulus
gobp_acute_phase_response	-0.823615426	2.164016776	others	gobp_acute_phase_response
gobp_acyl_carnitine_transmembrane_transport	1.435698015	0.550904576	others	gobp_acyl_carnitine_transmembrane_transport
gobp_acylglycerol_homeostasis	1.431974047	2.306203626	others	gobp_acylglycerol_homeostasis
gobp_acylglycerol_transport	-0.012631913	0.145032075	others	gobp_acylglycerol_transport
gobp_adaptation_of_signaling_pathway	1.068365868	-3.498264351	others	gobp_adaptation_of_signaling_pathway
gobp_adaptive_immune_response	2.169591542	5.635322082	others	gobp_adaptive_immune_response
gobp_adaptive_immune_response_based_on_somatic_recombination_of_immune_receptors_built_from_immunoglobulin_superfamily_domains	1.497484914	5.474405693	others	gobp_adaptive_immune_response_based_on_somatic_recombination_of_immune_receptors_built_from_immunoglobulin_superfamily_domains
gobp_adaptive_thermogenesis	-0.810050043	-2.343052751	others	gobp_adaptive_thermogenesis
gobp_adenohypophysis_development	-0.588133902	-3.302157251	others	gobp_adenohypophysis_development
gobp_adenosine_metabolic_process	0.072734506	2.760751471	others	gobp_adenosine_metabolic_process
gobp_adenosine_to_inosine_editing	1.89036854	-3.383639447	others	gobp_adenosine_to_inosine_editing
gobp_adenylate_cyclase_activating_adrenergic_receptor_signaling_pathway	-1.343783949	-6.680012531	others	gobp_adenylate_cyclase_activating_adrenergic_receptor_signaling_pathway
gobp_adenylate_cyclase_activating_adrenergic_receptor_signaling_pathway_involved_in_heart_process	-0.321334469	-3.91439704	others	gobp_adenylate_cyclase_activating_adrenergic_receptor_signaling_pathway_involved_in_heart_process
gobp_adenylate_cyclase_activating_dopamine_receptor_signaling_pathway	-2.365545523	-2.972832679	others	gobp_adenylate_cyclase_activating_dopamine_receptor_signaling_pathway
gobp_adenylate_cyclase_activating_g_protein_coupled_receptor_signaling_pathway	-1.857917867	-6.43607517	others	gobp_adenylate_cyclase_activating_g_protein_coupled_receptor_signaling_pathway
gobp_adenylate_cyclase_inhibiting_dopamine_receptor_signaling_pathway	-2.508403678	-3.754105776	others	gobp_adenylate_cyclase_inhibiting_dopamine_receptor_signaling_pathway
gobp_adenylate_cyclase_inhibiting_g_protein_coupled_receptor_signaling_pathway	-3.509336689	-7.004960549	others	gobp_adenylate_cyclase_inhibiting_g_protein_coupled_receptor_signaling_pathway
gobp_adenylate_cyclase_modulating_g_protein_coupled_receptor_signaling_pathway	-3.607730823	-6.908381737	others	gobp_adenylate_cyclase_modulating_g_protein_coupled_receptor_signaling_pathway
gobp_adherens_junction_assembly	-2.663627201	-7.286300264	others	gobp_adherens_junction_assembly
gobp_adherens_junction_maintenance	-4.072326731	-3.76956976	others	gobp_adherens_junction_maintenance
gobp_adherens_junction_organization	-5.70778683	-9.358447725	others	gobp_adherens_junction_organization
gobp_adhesion_of_symbiont_to_host	1.198165412	-2.642559461	others	gobp_adhesion_of_symbiont_to_host
gobp_adhesion_of_symbiont_to_host_cell	1.481313173	-4.182972059	others	gobp_adhesion_of_symbiont_to_host_cell
gobp_adiponectin_activated_signaling_pathway	-2.709717905	-1.726688004	others	gobp_adiponectin_activated_signaling_pathway
gobp_adipose_tissue_development	-3.202809341	-3.792424059	others	gobp_adipose_tissue_development
gobp_adp_biosynthetic_process	-2.013179225	0.242950386	others	gobp_adp_biosynthetic_process
gobp_adp_metabolic_process	-0.519950454	1.50812184	others	gobp_adp_metabolic_process
gobp_adp_transport	0.183645245	0.107086869	others	gobp_adp_transport
gobp_adrenal_gland_development	-1.66570304	-5.096626138	others	gobp_adrenal_gland_development
gobp_adrenergic_receptor_signaling_pathway	-1.4595441	-6.153585899	others	gobp_adrenergic_receptor_signaling_pathway
gobp_adrenomedullin_receptor_signaling_pathway	-4.504233478	-6.721193591	others	gobp_adrenomedullin_receptor_signaling_pathway
gobp_adult_behavior	-0.801292882	-4.349052388	others	gobp_adult_behavior
gobp_adult_feeding_behavior	-1.085975204	-1.014678222	others	gobp_adult_feeding_behavior
gobp_adult_heart_development	-1.212961832	-7.909169947	others	gobp_adult_heart_development
gobp_adult_locomotory_behavior	-1.109818971	-3.085909722	others	gobp_adult_locomotory_behavior
gobp_aerobic_respiration	1.004386456	2.054173527	others	gobp_aerobic_respiration
gobp_aggrephagy	1.077211358	2.298521273	others	gobp_aggrephagy
gobp_aggresome_assembly	0.613291708	2.911640389	others	gobp_aggresome_assembly
gobp_aging	-2.140786033	-3.892016163	others	gobp_aging
gobp_alanine_catabolic_process	-1.192111571	1.688576482	others	gobp_alanine_catabolic_process
gobp_alanine_transport	-0.159631037	-0.495757481	others	gobp_alanine_transport
gobp_alcohol_biosynthetic_process	0.781390828	-0.070548136	others	gobp_alcohol_biosynthetic_process
gobp_alcohol_catabolic_process	0.111303296	-1.193688459	others	gobp_alcohol_catabolic_process
gobp_alcohol_metabolic_process	0.254168769	-0.178036434	others	gobp_alcohol_metabolic_process
gobp_aldehyde_biosynthetic_process	0.347681709	-5.422366934	others	gobp_aldehyde_biosynthetic_process
gobp_aldehyde_catabolic_process	-0.416353383	2.747788402	others	gobp_aldehyde_catabolic_process
gobp_alditol_biosynthetic_process	-1.864497556	-2.366821318	others	gobp_alditol_biosynthetic_process
gobp_alditol_catabolic_process	-0.438774946	2.641710751	others	gobp_alditol_catabolic_process
gobp_alditol_metabolic_process	-0.627547116	1.270795237	others	gobp_alditol_metabolic_process
gobp_alditol_phosphate_metabolic_process	-1.02300737	0.410217088	others	gobp_alditol_phosphate_metabolic_process
gobp_alkaloid_metabolic_process	-0.590961847	2.338694127	others	gobp_alkaloid_metabolic_process
