"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Metabolites","Compound.ID","Super.Class","Class","Sub.Class","KEGG","level","group"
"293.21225.2",0,2.38291232214249,0.52,0.09,0,"293.21225","A-12(13)-EpODE;
13-HOTE;
15(16)-EpODE;
9(10)-EpODE;
9-HOTE;
17-Hydroxylinolenic acid;
15,16-Epoxy-9,12-octadecadienoic acid;
(2'E,4'Z,8E)-Colneleic acid;
12,13-Epoxy-9,15-octadecadienoic acid;
2-Hydroxylinolenic acid;
(9S,10E,12Z,15Z)-9-Hydroxy-10,12,15-octadecatrienoic acid;
(9Z,12Z,14E)-16-Hydroxy-9,12,14-octadecatrienoic acid;
Sterebin D;
3,4-Dimethyl-5-pentyl-2-furanheptanoic acid;
3,4-Dimethyl-5-propyl-2-furannonanoic acid;
12(13)-epoxy-6Z,9Z-octadecadienoic acid;
5-Heptyl-2-furanheptanoic acid;
5-Hexyl-2-furanoctanoic acid;
5-pentyl-2-furannonanoic acid","HMDB0010200;
HMDB0010203;
HMDB0010206;
HMDB0010220;
HMDB0010224;
HMDB0011108;
HMDB0030950;
HMDB0030995;
HMDB0031088;
HMDB0031103;
HMDB0031934;
HMDB0034586;
HMDB0036832;
HMDB0039603;
HMDB0061644;
HMDB0062288;
HMDB0112093;
HMDB0112099;
HMDB0112102","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Prenol lipids;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls","Fatty acids and conjugates;
Lineolic acids and derivatives;
Fatty acids and conjugates;
Fatty acids and conjugates;
Lineolic acids and derivatives;
Lineolic acids and derivatives;
Fatty acids and conjugates;
Fatty acids and conjugates;
Fatty acids and conjugates;
Lineolic acids and derivatives;
Lineolic acids and derivatives;
Lineolic acids and derivatives;
Sesquiterpenoids;
Fatty acids and conjugates;
Fatty acids and conjugates;
Fatty acids and conjugates;
Fatty acids and conjugates;
Fatty acids and conjugates;
Fatty acids and conjugates",";
;
;
;
;
C16346;
;
C19827;
;
;
;
;
;
;
;
;
;
C13798;
","**","neg"
"309.20716",7.00162521702732e-294,2.2110692403024,0.237,0.015,3.72486461545853e-291,"309.20716","12(13)Ep-9-KODE;
(9Z,11R,12S,13S,15Z)-12,13-Epoxy-11-hydroxy-9,15-octadecadienoic acid;
Sterebin A;
Auxin b","HMDB0013623;
HMDB0033505;
HMDB0035337;
HMDB0038484","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Fatty Acyls;
Prenol lipids;
Prenol lipids","Fatty acids and conjugates;
Fatty acids and conjugates;
Sesquiterpenoids;
Monoterpenoids",";
;
;
","**","neg"
"311.22315.3",0,2.16499866910784,0.852,0.332,0,"311.22315","8(R)-Hydroperoxylinoleic acid;
9(S)-HPODE;
12,13-DiHODE;
15,16-DiHODE;
9,10-DiHODE;
(<U+FFFD>)-(E)-13-Hydroxy-10-oxo-11-octadecenoic acid;
(10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid","HMDB0004706;
HMDB0006940;
HMDB0010201;
HMDB0010208;
HMDB0010221;
HMDB0040900;
HMDB0062434","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls","Lineolic acids and derivatives;
Lineolic acids and derivatives;
Lineolic acids and derivatives;
Lineolic acids and derivatives;
Lineolic acids and derivatives;
Lineolic acids and derivatives;
Lineolic acids and derivatives","C14831;
C14827;
;
;
;
;
C14827","**","neg"
"319.22805",5.47440858868106e-207,1.96893172673915,0.235,0.025,2.91238536917832e-204,"319.22805","5,6-Epoxy-8,11,14-eicosatrienoic acid;
14R,15S-EpETrE;
15-HETE;
14,15-Epoxy-5,8,11-eicosatrienoic acid;
11,12-Epoxyeicosatrienoic acid;
8-HETE;
16(R)-HETE;
11(R)-HETE;
20-Hydroxyeicosatetraenoic acid;
FA(20:4(5Z,8Z,10E,12-OH,14Z));
18-Hydroxyarachidonic acid;
9-HETE;
FA(20:4(5-OH,6E,8Z,11Z,14Z));
19(S)-HETE;
10-HETE;
13-HETE;
17-HETE;
12 Hydroxy arachidonic acid;
12S-hydroxy-5E,8Z,10Z,14Z-eicosatetraenoic acid;
15R-hydroxy-5Z,8Z,11Z,13E-eicosatetraenoic acid;
18-Hydroxy-5Z,8Z,11Z,14Z-eicosatetraenoic acid;
7-HETE;
8-hydroxy-5Z,9E,11Z,14Z-eicosatetraenoic acid","HMDB0002190;
HMDB0002283;
HMDB0003876;
HMDB0004264;
HMDB0004673;
HMDB0004679;
HMDB0004680;
HMDB0004682;
HMDB0005998;
HMDB0006111;
HMDB0006245;
HMDB0010222;
HMDB0011134;
HMDB0011136;
HMDB0012508;
HMDB0012567;
HMDB0012598;
HMDB0060101;
HMDB0062287;
HMDB0062294;
HMDB0062302;
HMDB0062431;
HMDB0062433","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls","Fatty acids and conjugates;
Fatty acids and conjugates;
Eicosanoids;
Fatty acids and conjugates;
Eicosanoids;
Eicosanoids;
Eicosanoids;
Eicosanoids;
Fatty acids and conjugates;
Eicosanoids;
Eicosanoids;
Eicosanoids;
Eicosanoids;
Eicosanoids;
Eicosanoids;
Eicosanoids;
Eicosanoids;
Fatty acids and conjugates;
Eicosanoids;
Eicosanoids;
Eicosanoids;
Eicosanoids;
Eicosanoids","C14768;
;
C04742;
C14771;
;
C14776;
C14778;
C14780;
C14748;
C14777;
;
;
C04805;
C14749;
;
;
;
;
;
;
;
;
","**","neg"
"374.21869.3",1.37261799332023e-215,1.8708995281459,0.514,0.138,7.30232772446363e-213,"374.21869","6-Keto-decanoylcarnitine","HMDB0013202","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",NA,"*","neg"
"335.22292",7.82488292672816e-197,1.68309799936732,0.131,0.005,4.16283771701938e-194,"335.22292","8-iso-PGA1;
Prostaglandin A1;
Prostaglandin B1;
8,20-DiHETE","HMDB0002236;
HMDB0002656;
HMDB0002982;
HMDB0062687","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls","Eicosanoids;
Eicosanoids;
Eicosanoids;
Eicosanoids",";
C04685;
C00959;
","**","neg"
"295.22822.2",2.15367962206898e-281,1.50871090368776,0.89,0.453,1.1457575589407e-278,"295.22822","Octadecanedioic acid;
9,10-DHOME;
12,13-DHOME;
Dibutyl decanedioate","HMDB0000782;
HMDB0004704;
HMDB0004705;
HMDB0041220","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls","Fatty acids and conjugates;
Fatty acids and conjugates;
Fatty acids and conjugates;
Fatty acid esters",";
;
C14829;
","**","neg"
"312.22652",1.66615298070724e-162,1.50655612656136,0.118,0.006,8.8639338573625e-160,"312.22652",NA,NA,NA,NA,NA,NA,NA,"neg"
"154.06243.2",2.80394973578696e-95,1.3764038551727,0.31,0.093,1.49170125943866e-92,"154.06243","L-Histidine","HMDB0000177","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","C00135","*","neg"
"557.45811.3",1.77352785733534e-57,1.13005059120992,0.293,0.113,9.435168201024e-55,"557.45811","DG(33:3);
DG(32:3)","HMDB0007075;
HMDB0056142","Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Glycerolipids","Lineolic acids and derivatives;
Diradylglycerols",";
","**","neg"
